,Unnamed: 0,ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,ConvertedCompYearly
0,7,8,I am a student who is learning to code,"Student, full-time",Malaysia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School;Online Courses or Certification,4,,,,,,,HTML/CSS;JavaScript;PHP;Ruby;SQL;TypeScript,Ruby,MySQL;PostgreSQL;SQLite,PostgreSQL,Heroku;Microsoft Azure,Heroku,Angular.js;jQuery;Ruby on Rails,Ruby on Rails,,,,,Sublime Text;Visual Studio Code,Sublime Text;Visual Studio Code,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",Yes,18-24 years old,Woman,No,Straight / Heterosexual,White or of European descent;Multiracial;Southeast Asian,None of the above,None of the above,
1,25,26,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Germany,,,"Other doctoral degree (Ph.D., Ed.D., etc.)",25 - 34 years,Coding Bootcamp;Online Forum,12,12,Academic researcher;Database administrator;Scientist,100 to 499 employees,EUR European Euro,,Monthly,HTML/CSS;Julia;Python;R;SQL,HTML/CSS;Julia;Python;R;SQL,PostgreSQL;SQLite,PostgreSQL,,,Django;jQuery,,NumPy;Pandas;TensorFlow,NumPy;Pandas;TensorFlow,Docker;Git,Git,Atom;RStudio;Vim,Atom;RStudio;Vim,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,Neutral,No,35-44 years old,"Non-binary, genderqueer, or gender non-conforming",Prefer not to say,Bisexual,White or of European descent,None of the above,I have an anxiety disorder,
2,39,40,I am a student who is learning to code,"Student, part-time",India,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,3,,,,,,,C;C#;C++;HTML/CSS;JavaScript;Node.js;Python,,MongoDB,,Heroku,,Express;jQuery;React.js,,Keras;NumPy;TensorFlow,,Flow;Unity 3D,,IPython/Jupyter;Sublime Text;Visual Studio Code,,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",Yes,18-24 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,I have a concentration and/or memory disorder (e.g. ADHD),
4,53,54,I am a developer by profession,"Student, full-time",United Kingdom of Great Britain and Northern Ireland,,England,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,Friend or family member;Online Courses or Certification;Colleague,6,,,,,,,PowerShell,Python,,,Google Cloud Platform,Google Cloud Platform,,,Keras;NumPy;Torch/PyTorch,NumPy;Torch/PyTorch,Git,Git,Notepad++;PyCharm,PyCharm,Linux-based,Visit Stack Overflow;Google it;Panic,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",No,25-34 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,I have an anxiety disorder,
5,59,60,I am a developer by profession,"Student, full-time",India,,,Something else,05 - 10 years,"Other online resources (ex: videos, blogs, etc)",2,,,,,,,Bash/Shell;C;JavaScript;Python;SQL,,,,AWS;DigitalOcean;Google Cloud Platform;Heroku;IBM Cloud or Watson;Microsoft Azure;Oracle Cloud Infrastructure,,Django;Flask,Django;Flask,Keras;NumPy;Pandas;Qt;TensorFlow;Torch/PyTorch,,Docker;Git;Kubernetes,,IPython/Jupyter;Vim;Visual Studio Code,IPython/Jupyter;Vim;Visual Studio Code,Linux-based,Visit Stack Overflow,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per week,"Yes, definitely",No,Under 18 years old,"Non-binary, genderqueer, or gender non-conforming",Yes,Straight / Heterosexual;Bisexual;Gay or Lesbian;Queer,East Asian,I am deaf / hard of hearing;I am blind / have difficulty seeing;I am unable to / find it difficult to type;I am unable to / find it difficult to walk or stand without assistance,None of the above,
6,82,83,I am a student who is learning to code,"Student, full-time",Netherlands,,,"Associate degree (A.A., A.S., etc.)",11 - 17 years,School,5,,,,,,,Dart;HTML/CSS;JavaScript;PHP;TypeScript,Dart;HTML/CSS;JavaScript;PHP;TypeScript,MariaDB;MongoDB;MySQL,MariaDB;MongoDB;MySQL,,,jQuery;Laravel;React.js;Vue.js,jQuery;Laravel;React.js,Flutter;React Native,Flutter,Docker;Git,Docker;Git,PHPStorm;Visual Studio Code;Webstorm;Xcode,PHPStorm;Webstorm;Xcode,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",No,18-24 years old,Woman,No,Bisexual,White or of European descent,None of the above,I have a concentration and/or memory disorder (e.g. ADHD);I have autism / an autism spectrum disorder (e.g. Asperger's),
7,85,86,I am a developer by profession,Employed part-time,Germany,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,7,2,"Data scientist or machine learning specialist;Academic researcher;Scientist;Student;Developer, game or graphics",I don’t know,EUR European Euro,,,C;C++;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Rust;SQL;TypeScript,C++;Java;Kotlin;Python,MySQL;PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,AWS,AWS,Django;Express;Flask;jQuery;Spring;Vue.js,Vue.js,NumPy;Pandas;Qt;Torch/PyTorch,NumPy;Torch/PyTorch,Docker;Git;Unreal Engine,Docker;Git,Android Studio;IntelliJ;IPython/Jupyter;Notepad++;PyCharm;Rider;Sublime Text;Vim;Visual Studio;Visual Studio Code,IntelliJ;Notepad++;Vim;Visual Studio Code,Linux-based,Go for a walk or other physical activity;Google it;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, definitely",Yes,18-24 years old,"Man;Or, in your own words:",No,Straight / Heterosexual;Prefer to self-describe:,White or of European descent,None of the above,None of the above,
8,96,97,I am a developer by profession,Employed full-time,Germany,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Other (please specify):,10,Less than 1 year,"Developer, full-stack",100 to 499 employees,EUR European Euro,40000.0,Monthly,Bash/Shell;Clojure;Haskell;Java;JavaScript;Kotlin;Python,Haskell,Cassandra,,AWS;Google Cloud Platform,,React.js,,Flutter,,Docker;Git;Kubernetes,Git,Emacs;Neovim;Vim,Emacs;Neovim;Vim,Linux-based,Call a coworker or friend;Panic,Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",Yes,18-24 years old,"Non-binary, genderqueer, or gender non-conforming",Yes,Bisexual;Queer,White or of European descent,None of the above,"I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",518868.0
9,142,143,I am a developer by profession,Employed full-time,Romania,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,Other (please specify):,4,2,"Developer, mobile",20 to 99 employees,RON	Romanian leu,5400.0,Monthly,JavaScript;Swift;TypeScript,Dart;Kotlin;Objective-C,Firebase;PostgreSQL,,Google Cloud Platform,AWS,React.js,,NumPy;React Native,Flutter,Git,Docker;Yarn,Android Studio;Visual Studio Code;Webstorm;Xcode,Emacs;Vim,MacOS,Visit Stack Overflow;Do other work and come back later,Stack Overflow,Multiple times per day,Yes,Daily or almost daily,"Yes, somewhat",No,18-24 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,14652.0
10,146,147,I am a developer by profession,Employed full-time,Russian Federation,,,"Professional degree (JD, MD, etc.)",11 - 17 years,School,15,5,"Developer, mobile","10,000 or more employees",RUB	Russian ruble,4800000.0,Yearly,C++;Java;Kotlin;Objective-C;Swift,Kotlin;Swift,SQLite,,,,,,,,,,Android Studio;IntelliJ;Sublime Text;Xcode,Android Studio;IntelliJ;Sublime Text;Xcode,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Panic,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",No,25-34 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,75492.0
12,231,232,I am a developer by profession,Employed full-time,France,,,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School;Online Forum;Online Courses or Certification,7,2,Data scientist or machine learning specialist,100 to 499 employees,EUR European Euro,,,JavaScript;Node.js;Python;SQL,JavaScript;Node.js;Python;SQL,Firebase;Microsoft SQL Server;Redis,Firebase;Microsoft SQL Server;Redis,Google Cloud Platform,Google Cloud Platform,Flask,Flask,Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Git,Docker;Git;Kubernetes,IntelliJ;IPython/Jupyter;PyCharm;RStudio;Webstorm,IntelliJ;IPython/Jupyter;PyCharm;RStudio;Webstorm,Windows,Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",No,25-34 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,
13,264,265,I am a developer by profession,Employed full-time,Denmark,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",7,3,"Developer, front-end",100 to 499 employees,DKK	Danish krone,47000.0,Monthly,C#;HTML/CSS;SQL;TypeScript,HTML/CSS;Node.js;Python;TypeScript,Microsoft SQL Server,Microsoft SQL Server,Microsoft Azure,Microsoft Azure,ASP.NET Core ;React.js,Express;React.js,NumPy;Pandas,NumPy;Pandas,Docker;Git;Kubernetes;Terraform;Yarn,Docker;Git;Kubernetes;Terraform;Yarn,IPython/Jupyter;Rider;Visual Studio Code,Rider;Visual Studio Code;Webstorm,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Panic;Other (please specify):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",Yes,25-34 years old,Woman,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,81624.0
14,270,271,I am a developer by profession,Employed full-time,Armenia,,,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Coding Bootcamp,10,2,"Developer, mobile;Developer, front-end;Developer, full-stack;Developer, back-end;Scientist;Developer, game or graphics;Designer;System administrator",10 to 19 employees,AMD	Armenian dram,100000.0,Weekly,HTML/CSS;JavaScript;Node.js;PHP;SQL;TypeScript,C#;PowerShell;Python,MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,,Heroku,Google Cloud Platform;Microsoft Azure,Express;Laravel;Vue.js,ASP.NET;Flask,Cordova;React Native,.NET Framework;.NET Core / .NET 5;TensorFlow,Docker;Git;Unreal Engine,Kubernetes,Android Studio;Atom;Visual Studio,Visual Studio Code,Windows,Play games,Stack Overflow,A few times per week,Yes,A few times per month or weekly,"No, not at all",Yes,18-24 years old,"Man;Or, in your own words:","Or, in your own words:",Straight / Heterosexual;Prefer to self-describe:,"Or, in your own words:","Or, in your own words:","Or, in your own words:",10450.0
